"","day","month","year","venue","ext","date","location","city","country","state","region","lat","lon","n","fixedc","standardc","fixedp","fixedfinal","noplace","fixedfinal2"
"663","28","Dec","1986","Henry J. Kaiser Convention Center, Oakland, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1986/henry-j-kaiser-convention-center-oakland-ca-6bd6066e.html",1986-12-28,"Henry J. Kaiser Convention Center","Oakland","USA","CA","West",37.7976288,-122.2615781,18,0.0972298480926609,6.65727591770254e-38,0.0972298480926609,3.84329441366992,0.00662878787878888,5.17708529328112
"664","27","Dec","1986","Henry J. Kaiser Convention Center, Oakland, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1986/henry-j-kaiser-convention-center-oakland-ca-63d6066f.html",1986-12-27,"Henry J. Kaiser Convention Center","Oakland","USA","CA","West",37.7976288,-122.2615781,20,0.0968440153621344,4.5606599018189e-44,0.0968440153621344,3.84666444028868,0.00660248316498317,5.18127248376867
"665","17","Dec","1986","Oakland-Alameda County Coliseum Arena, Oakland, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1986/oakland-alameda-county-coliseum-arena-oakland-ca-7bd60668.html",1986-12-17,"Oakland-Alameda County Coliseum Arena","Oakland","USA","CA","West",37.7502917,-122.2030494,23,0.0704031252995878,7.14005911040634e-51,0.0704031252995878,4.11692094510499,0.0024726430976431,6.21556066893248
"666","16","Dec","1986","Oakland-Alameda County Coliseum Arena, Oakland, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1986/oakland-alameda-county-coliseum-arena-oakland-ca-73d60669.html",1986-12-16,"Oakland-Alameda County Coliseum Arena","Oakland","USA","CA","West",37.7502917,-122.2030494,20,0.187991323938261,1.01374356499053e-44,0.187991323938261,3.28448241001421,0.00660248316498317,5.18127248376867
"667","15","Dec","1986","Oakland-Alameda County Coliseum Arena, Oakland, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1986/oakland-alameda-county-coliseum-arena-oakland-ca-6bd6066a.html",1986-12-15,"Oakland-Alameda County Coliseum Arena","Oakland","USA","CA","West",37.7502917,-122.2030494,23,0.0704031252995878,1.38555886350197e-49,0.0704031252995878,4.11692094510499,0.0024726430976431,6.21556066893248
"668","7","Jul","1986","RFK Stadium, Washington, DC, USA","http://www.setlist.fm/setlist/grateful-dead/1986/rfk-stadium-washington-dc-63d6066b.html",1986-07-07,"RFK Stadium","Washington","USA","DC","South",38.8897917,-76.9719557,15,0.00527682999102326,3.61035129243719e-34,0.00527682999102326,6.31287591791561,0.000815446127948832,7.38374698739484
"669","6","Jul","1986","RFK Stadium, Washington, DC, USA","http://www.setlist.fm/setlist/grateful-dead/1986/rfk-stadium-washington-dc-7bd60674.html",1986-07-06,"RFK Stadium","Washington","USA","DC","South",38.8897917,-76.9719557,18,0.0428955212173504,6.44634572170351e-38,0.0428955212173504,4.53686198442878,0.00662878787879003,5.17708529328094
"670","4","Jul","1986","Rich Stadium, Orchard Park, NY, USA","http://www.setlist.fm/setlist/grateful-dead/1986/rich-stadium-orchard-park-ny-73d60675.html",1986-07-04,"Rich Stadium","Orchard Park","USA","NY","Northeast",42.7737601,-78.7869732,18,0.0142985070724501,1.97023624113885e-40,0.0142985070724501,5.46800245078069,0.00662878787878788,5.17708529328128
"671","2","Jul","1986","Rubber Bowl, Akron, OH, USA","http://www.setlist.fm/setlist/grateful-dead/1986/rubber-bowl-akron-oh-6bd60676.html",1986-07-02,"Rubber Bowl","Akron","USA","OH","Midwest",41.0393416,-81.4560806,20,0.00284835339300395,7.88639524304057e-46,0.00284835339300395,6.83546860467394,0.00660248316498317,5.18127248376867
"672","30","Jun","1986","Riverbend Music Center, Cincinnati, OH, USA","http://www.setlist.fm/setlist/grateful-dead/1986/riverbend-music-center-cincinnati-oh-63d60677.html",1986-06-30,"Riverbend Music Center","Cincinnati","USA","OH","Midwest",39.0520583,-84.4188258,19,0.00651376433300506,8.46164413822052e-43,0.00651376433300506,6.13438644853411,0.00754945286195286,5.04012933252186
"673","29","Jun","1986","Alpine Valley Music Theatre, East Troy, WI, USA","http://www.setlist.fm/setlist/grateful-dead/1986/alpine-valley-music-theatre-east-troy-wi-7bd60670.html",1986-06-29,"Alpine Valley Music Theatre","East Troy","USA","WI","Midwest",42.7380042,-88.43385,19,0.0651376433300506,2.1670743895187e-40,0.0651376433300506,4.18280609628379,0.00754945286195286,5.04012933252186
"674","28","Jun","1986","Alpine Valley Music Theatre, East Troy, WI, USA","http://www.setlist.fm/setlist/grateful-dead/1986/alpine-valley-music-theatre-east-troy-wi-73d60671.html",1986-06-28,"Alpine Valley Music Theatre","East Troy","USA","WI","Midwest",42.7380042,-88.43385,17,0.0301857371529503,6.11464471697097e-37,0.0301857371529503,4.83469298049563,0.00349852693602786,5.85008571246023
"675","26","Jun","1986","Hubert H. Humphrey Metrodome, Minneapolis, MN, USA","http://www.setlist.fm/setlist/grateful-dead/1986/hubert-h-humphrey-metrodome-minneapolis-mn-6bd60672.html",1986-06-26,"Hubert H. Humphrey Metrodome","Minneapolis","USA","MN","Midwest",44.9739089,-93.2580605,18,0.00285970141449003,3.18034989678283e-39,0.00285970141449003,6.83209857805519,0.00662878787878945,5.17708529328103
"676","22","Jun","1986","Greek Theatre, Berkeley, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1986/greek-theatre-berkeley-ca-63d60673.html",1986-06-22,"Greek Theatre","Berkeley","USA","CA","West",37.8736178,-122.2544468,23,0.030934706571031,8.45800968772957e-50,0.030934706571031,4.81391993989492,0.0024726430976431,6.21556066893248
"677","21","Jun","1986","Greek Theatre, Berkeley, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1986/greek-theatre-berkeley-ca-7bd6067c.html",1986-06-21,"Greek Theatre","Berkeley","USA","CA","West",37.8736178,-122.2544468,20,0.0826022483971147,4.14698256579579e-43,0.0826022483971147,3.98148140480413,0.00660248316498317,5.18127248376867
"678","20","Jun","1986","Greek Theatre, Berkeley, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1986/greek-theatre-berkeley-ca-73d6067d.html",1986-06-20,"Greek Theatre","Berkeley","USA","CA","West",37.8736178,-122.2544468,18,0.0829313410202107,2.97686922132582e-39,0.0829313410202107,3.97811137818538,0.00662878787878788,5.17708529328128
"679","11","May","1986","Frost Amphitheatre, Stanford, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1986/frost-amphitheatre-stanford-ca-6bd6067e.html",1986-05-11,"Frost Amphitheatre","Stanford","USA","CA","West",37.4307223,-122.1660268,20,0.0398769475020554,3.08015980130467e-46,0.0398769475020554,4.59870764908104,0.00660248316498317,5.18127248376867
"680","10","May","1986","Frost Amphitheatre, Stanford, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1986/frost-amphitheatre-stanford-ca-63d6067f.html",1986-05-10,"Frost Amphitheatre","Stanford","USA","CA","West",37.4307223,-122.1660268,19,0.0455963503310354,3.15713876111844e-42,0.0455963503310354,4.48510971791703,0.00754945286195286,5.04012933252186
"681","4","May","1986","Cal Expo Amphitheatre, Sacramento, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1986/cal-expo-amphitheatre-sacramento-ca-7bd60678.html",1986-05-04,"Cal Expo Amphitheatre","Sacramento","USA","CA","West",38.5907007,-121.4277097,19,0.0814220541625632,9.60206987086903e-39,0.0814220541625632,3.99367841896094,0.00754945286195579,5.04012933252145
"682","3","May","1986","Cal Expo Amphitheatre, Sacramento, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1986/cal-expo-amphitheatre-sacramento-ca-73d60679.html",1986-05-03,"Cal Expo Amphitheatre","Sacramento","USA","CA","West",38.5907007,-121.4277097,17,0.0377321714411878,8.65023033561488e-38,0.0377321714411878,4.64556530317279,0.00349852693602701,5.85008571246049
"683","22","Apr","1986","Berkeley Community Theatre, Berkeley, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1986/berkeley-community-theatre-berkeley-ca-6bd6067a.html",1986-04-22,"Berkeley Community Theatre","Berkeley","USA","CA","West",37.8684709,-122.2714371,18,0.0686328339477606,9.57629548946023e-40,0.0686328339477606,4.1385054367758,0.00662878787878788,5.17708529328128
"684","21","Apr","1986","Berkeley Community Theatre, Berkeley, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1986/berkeley-community-theatre-berkeley-ca-63d6067b.html",1986-04-21,"Berkeley Community Theatre","Berkeley","USA","CA","West",37.8684709,-122.2714371,20,0.0683604814320949,2.19937475502192e-44,0.0683604814320949,4.14187546339456,0.00660248316498317,5.18127248376867
"685","19","Apr","1986","Berkeley Community Theatre, Berkeley, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1986/berkeley-community-theatre-berkeley-ca-5bd60784.html",1986-04-19,"Berkeley Community Theatre","Berkeley","USA","CA","West",37.8684709,-122.2714371,16,0.0187923235809344,5.64781311667591e-35,0.0187923235809344,5.23636979381216,0.00181502525252958,6.54115973905313
"686","18","Apr","1986","Berkeley Community Theatre, Berkeley, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1986/berkeley-community-theatre-berkeley-ca-53d60785.html",1986-04-18,"Berkeley Community Theatre","Berkeley","USA","CA","West",37.8684709,-122.2714371,22,0.0403081723185261,9.2320984761517e-54,0.0403081723185261,4.58959142704248,0.00389309764309764,5.73755058958675
"687","13","Apr","1986","Irvine Meadows, Irvine, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1986/irvine-meadows-irvine-ca-4bd60786.html",1986-04-13,"Irvine Meadows","Irvine","USA","CA","West",33.6874452,-117.7713542,19,0.0488532324975379,1.9306595525038e-42,0.0488532324975379,4.42663407988352,0.00754945286195286,5.04012933252186
"688","12","Apr","1986","Irvine Meadows, Irvine, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1986/irvine-meadows-irvine-ca-43d60787.html",1986-04-12,"Irvine Meadows","Irvine","USA","CA","West",33.6874452,-117.7713542,19,0.0488532324975379,1.25437663678151e-41,0.0488532324975379,4.42663407988352,0.00754945286195286,5.04012933252186
"689","4","Apr","1986","Hartford Civic Center, Hartford, CT, USA","http://www.setlist.fm/setlist/grateful-dead/1986/hartford-civic-center-hartford-ct-5bd60780.html",1986-04-04,"Hartford Civic Center","Hartford","USA","CT","Northeast",41.768399,-72.6769853,19,0.0586238789970455,8.94872612021668e-43,0.0586238789970455,4.27210551583028,0.00754945286195286,5.04012933252186
"690","3","Apr","1986","Hartford Civic Center, Hartford, CT, USA","http://www.setlist.fm/setlist/grateful-dead/1986/hartford-civic-center-hartford-ct-53d60781.html",1986-04-03,"Hartford Civic Center","Hartford","USA","CT","Northeast",41.768399,-72.6769853,19,0.0586238789970455,1.74176332200376e-40,0.0586238789970455,4.27210551583028,0.00754945286195286,5.04012933252186
"691","1","Apr","1986","Providence Civic Center, Providence, RI, USA","http://www.setlist.fm/setlist/grateful-dead/1986/providence-civic-center-providence-ri-4bd60782.html",1986-04-01,"Providence Civic Center","Providence","USA","RI","Northeast",41.8236281,-71.4179556,17,0.0286764502953028,3.63903494210836e-37,0.0286764502953028,4.87816715473289,0.00349852693602751,5.85008571246034
"692","31","Mar","1986","Providence Civic Center, Providence, RI, USA","http://www.setlist.fm/setlist/grateful-dead/1986/providence-civic-center-providence-ri-43d60783.html",1986-03-31,"Providence Civic Center","Providence","USA","RI","Northeast",41.8236281,-71.4179556,16,0.0148772561682398,4.42291245119316e-41,0.0148772561682398,5.43437253210266,0.00181502525252525,6.54115973905564
"693","30","Mar","1986","Providence Civic Center, Providence, RI, USA","http://www.setlist.fm/setlist/grateful-dead/1986/providence-civic-center-providence-ri-5bd6078c.html",1986-03-30,"Providence Civic Center","Providence","USA","RI","Northeast",41.8236281,-71.4179556,21,0.0482971794447204,6.96470818807011e-49,0.0482971794447204,4.43633643284265,0.00589225589225589,5.3011199014969
"694","28","Mar","1986","Cumberland County Civic Center, Portland, ME, USA","http://www.setlist.fm/setlist/grateful-dead/1986/cumberland-county-civic-center-portland-me-53d6078d.html",1986-03-28,"Cumberland County Civic Center","Portland","USA","ME","Northeast",43.655522,-70.259255,20,0.0227868271440316,2.90898690946682e-43,0.0227868271440316,5.07301592974647,0.00660248316498317,5.18127248376867
"695","27","Mar","1986","Cumberland County Civic Center, Portland, ME, USA","http://www.setlist.fm/setlist/grateful-dead/1986/cumberland-county-civic-center-portland-me-4bd6078e.html",1986-03-27,"Cumberland County Civic Center","Portland","USA","ME","Northeast",43.655522,-70.259255,20,0.0227868271440316,1.04876564659651e-45,0.0227868271440316,5.07301592974647,0.00660248316498317,5.18127248376867
"696","25","Mar","1986","The Spectrum, Philadelphia, PA, USA","http://www.setlist.fm/setlist/grateful-dead/1986/the-spectrum-philadelphia-pa-43d6078f.html",1986-03-25,"The Spectrum","Philadelphia","USA","PA","Northeast",40.0963492,-74.9758629,18,0.134405966481031,8.40049852621545e-41,0.134405966481031,3.568865251468,0.00662878787878788,5.17708529328128
"697","24","Mar","1986","The Spectrum, Philadelphia, PA, USA","http://www.setlist.fm/setlist/grateful-dead/1986/the-spectrum-philadelphia-pa-5bd60788.html",1986-03-24,"The Spectrum","Philadelphia","USA","PA","Northeast",40.0963492,-74.9758629,18,0.134405966481031,1.26612375336373e-40,0.134405966481031,3.568865251468,0.00662878787878788,5.17708529328128
"698","23","Mar","1986","The Spectrum, Philadelphia, PA, USA","http://www.setlist.fm/setlist/grateful-dead/1986/the-spectrum-philadelphia-pa-53d60789.html",1986-03-23,"The Spectrum","Philadelphia","USA","PA","Northeast",40.0963492,-74.9758629,19,0.153073461825619,2.83897257383417e-44,0.153073461825619,3.45863734692274,0.00754945286195286,5.04012933252186
"699","21","Mar","1986","Hampton Coliseum, Hampton, VA, USA","http://www.setlist.fm/setlist/grateful-dead/1986/hampton-coliseum-hampton-va-4bd6078a.html",1986-03-21,"Hampton Coliseum","Hampton","USA","VA","South",37.0346863,-76.3812743,16,0.0164432831333176,3.87368118433122e-38,0.0164432831333176,5.34954573812256,0.00181502525252525,6.54115973905564
"700","20","Mar","1986","Hampton Coliseum, Hampton, VA, USA","http://www.setlist.fm/setlist/grateful-dead/1986/hampton-coliseum-hampton-va-43d6078b.html",1986-03-20,"Hampton Coliseum","Hampton","USA","VA","South",37.0346863,-76.3812743,18,0.0600537297042905,5.99892751922183e-38,0.0600537297042905,4.2516813810862,0.00662878787878931,5.17708529328105
"701","19","Mar","1986","Hampton Coliseum, Hampton, VA, USA","http://www.setlist.fm/setlist/grateful-dead/1986/hampton-coliseum-hampton-va-5bd60794.html",1986-03-19,"Hampton Coliseum","Hampton","USA","VA","South",37.0346863,-76.3812743,21,0.0533810930704805,2.2940592829154e-46,0.0533810930704805,4.35150963886255,0.00589225589225589,5.3011199014969
"702","14","Feb","1986","Henry J. Kaiser Convention Center, Oakland, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1986/henry-j-kaiser-convention-center-oakland-ca-53d60795.html",1986-02-14,"Henry J. Kaiser Convention Center","Oakland","USA","CA","West",37.7976288,-122.2615781,18,0.0972298480926609,1.65230812854293e-40,0.0972298480926609,3.84329441366992,0.00662878787878788,5.17708529328128
"703","12","Feb","1986","Henry J. Kaiser Convention Center, Oakland, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1986/henry-j-kaiser-convention-center-oakland-ca-4bd60796.html",1986-02-12,"Henry J. Kaiser Convention Center","Oakland","USA","CA","West",37.7976288,-122.2615781,16,0.0266224584063238,1.63782473589045e-37,0.0266224584063238,4.94115877070629,0.00181502525252525,6.54115973905564
"704","11","Feb","1986","Henry J. Kaiser Convention Center, Oakland, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1986/henry-j-kaiser-convention-center-oakland-ca-43d60797.html",1986-02-11,"Henry J. Kaiser Convention Center","Oakland","USA","CA","West",37.7976288,-122.2615781,19,0.110733993661086,2.11289480273533e-40,0.110733993661086,3.73306650912467,0.00754945286195286,5.04012933252186
"705","9","Feb","1986","Henry J. Kaiser Convention Center, Oakland, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1986/henry-j-kaiser-convention-center-oakland-ca-5bd60790.html",1986-02-09,"Henry J. Kaiser Convention Center","Oakland","USA","CA","West",37.7976288,-122.2615781,17,0.0513157531600155,5.98137842072513e-38,0.0513157531600155,4.38495339333651,0.00349852693602701,5.85008571246049
"706","8","Feb","1986","Henry J. Kaiser Convention Center, Oakland, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1986/henry-j-kaiser-convention-center-oakland-ca-53d60791.html",1986-02-08,"Henry J. Kaiser Convention Center","Oakland","USA","CA","West",37.7976288,-122.2615781,18,0.0972298480926609,1.03786918426235e-39,0.0972298480926609,3.84329441366992,0.00662878787878788,5.17708529328128
"707","31","Dec","1985","Oakland-Alameda County Coliseum Arena, Oakland, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1985/oakland-alameda-county-coliseum-arena-oakland-ca-4bd60792.html",1985-12-31,"Oakland-Alameda County Coliseum Arena","Oakland","USA","CA","West",37.7502917,-122.2030494,23,0.0704031252995878,7.39035368972286e-50,0.0704031252995878,4.11692094510499,0.0024726430976431,6.21556066893248
"708","30","Dec","1985","Oakland-Alameda County Coliseum Arena, Oakland, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1985/oakland-alameda-county-coliseum-arena-oakland-ca-43d60793.html",1985-12-30,"Oakland-Alameda County Coliseum Arena","Oakland","USA","CA","West",37.7502917,-122.2030494,20,0.187991323938261,1.27756011219687e-43,0.187991323938261,3.28448241001421,0.00660248316498317,5.18127248376867
"709","22","Nov","1985","Henry J. Kaiser Convention Center, Oakland, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1985/henry-j-kaiser-convention-center-oakland-ca-5bd6079c.html",1985-11-22,"Henry J. Kaiser Convention Center","Oakland","USA","CA","West",37.7976288,-122.2615781,16,0.0266224584063238,6.25046372074628e-35,0.0266224584063238,4.94115877070629,0.00181502525252864,6.54115973905368
"710","21","Nov","1985","Henry J. Kaiser Convention Center, Oakland, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1985/henry-j-kaiser-convention-center-oakland-ca-53d6079d.html",1985-11-21,"Henry J. Kaiser Convention Center","Oakland","USA","CA","West",37.7976288,-122.2615781,21,0.0864265316379208,1.98717283292109e-49,0.0864265316379208,3.94312267144628,0.00589225589225589,5.3011199014969
"711","20","Nov","1985","Henry J. Kaiser Convention Center, Oakland, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1985/henry-j-kaiser-convention-center-oakland-ca-4bd6079e.html",1985-11-20,"Henry J. Kaiser Convention Center","Oakland","USA","CA","West",37.7976288,-122.2615781,19,0.110733993661086,1.56937486317059e-42,0.110733993661086,3.73306650912467,0.00754945286195286,5.04012933252186
"712","17","Nov","1985","Long Beach Arena, Long Beach, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1985/long-beach-arena-long-beach-ca-43d6079f.html",1985-11-17,"Long Beach Arena","Long Beach","USA","CA","West",33.7652636,-118.1893385,21,0.0330454385674403,1.48625245067442e-46,0.0330454385674403,4.75797687594966,0.00589225589225589,5.3011199014969
"713","16","Nov","1985","Long Beach Arena, Long Beach, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1985/long-beach-arena-long-beach-ca-5bd60798.html",1985-11-16,"Long Beach Arena","Long Beach","USA","CA","West",33.7652636,-118.1893385,19,0.0423394681645329,4.84320303750795e-43,0.0423394681645329,4.54792071362805,0.00754945286195286,5.04012933252186
"714","11","Nov","1985","Brendan Byrne Arena, East Rutherford, NJ, USA","http://www.setlist.fm/setlist/grateful-dead/1985/brendan-byrne-arena-east-rutherford-nj-53d60799.html",1985-11-11,"Brendan Byrne Arena","East Rutherford","USA","NJ","Northeast",40.8115986,-74.067578,20,0.0455736542880633,9.92568786648794e-44,0.0455736542880633,4.48553170477064,0.00660248316498317,5.18127248376867
"715","10","Nov","1985","Brendan Byrne Arena, East Rutherford, NJ, USA","http://www.setlist.fm/setlist/grateful-dead/1985/brendan-byrne-arena-east-rutherford-nj-4bd6079a.html",1985-11-10,"Brendan Byrne Arena","East Rutherford","USA","NJ","Northeast",40.8115986,-74.067578,20,0.0455736542880633,1.73019892316268e-43,0.0455736542880633,4.48553170477064,0.00660248316498317,5.18127248376867
"716","8","Nov","1985","Rochester Community War Memorial, Rochester, NY, USA","http://www.setlist.fm/setlist/grateful-dead/1985/rochester-community-war-memorial-rochester-ny-43d6079b.html",1985-11-08,"Rochester Community War Memorial","Rochester","USA","NY","Northeast",43.1533193,-77.6106225,18,0.0285970141449003,3.47314760255553e-44,0.0285970141449003,4.88051822580487,0.00662878787878788,5.17708529328128
"717","7","Nov","1985","Rochester Community War Memorial, Rochester, NY, USA","http://www.setlist.fm/setlist/grateful-dead/1985/rochester-community-war-memorial-rochester-ny-5bd607a4.html",1985-11-07,"Rochester Community War Memorial","Rochester","USA","NY","Northeast",43.1533193,-77.6106225,20,0.0284835339300395,1.37858893640787e-44,0.0284835339300395,4.88388825242362,0.00660248316498317,5.18127248376867
"718","5","Nov","1985","The Centrum, Worcester, MA, USA","http://www.setlist.fm/setlist/grateful-dead/1985/the-centrum-worcester-ma-53d607a5.html",1985-11-05,"The Centrum","Worcester","USA","MA","Northeast",42.2653391,-71.7988353,22,0.020154086159263,2.23785910459398e-51,0.020154086159263,5.1770756520183,0.00389309764309764,5.73755058958675
"719","4","Nov","1985","The Centrum, Worcester, MA, USA","http://www.setlist.fm/setlist/grateful-dead/1985/the-centrum-worcester-ma-4bd607a6.html",1985-11-04,"The Centrum","Worcester","USA","MA","Northeast",42.2653391,-71.7988353,20,0.0341802407160474,3.65464233810779e-42,0.0341802407160474,4.72935968837038,0.00660248316498317,5.18127248376867
"720","2","Nov","1985","Richmond Coliseum, Richmond, VA, USA","http://www.setlist.fm/setlist/grateful-dead/1985/richmond-coliseum-richmond-va-43d607a7.html",1985-11-02,"Richmond Coliseum","Richmond","USA","VA","South",37.544639,-77.434448,18,0.0114388056579601,4.51661147158804e-41,0.0114388056579601,5.65713012810354,0.00662878787878788,5.17708529328128
"721","1","Nov","1985","Richmond Coliseum, Richmond, VA, USA","http://www.setlist.fm/setlist/grateful-dead/1985/richmond-coliseum-richmond-va-5bd607a0.html",1985-11-01,"Richmond Coliseum","Richmond","USA","VA","South",37.544639,-77.434448,22,0.00671802871975435,1.81611038448357e-53,0.00671802871975435,6.10821611837022,0.00389309764309764,5.73755058958675
"722","31","Oct","1985","Carolina Coliseum, Columbia, SC, USA","http://www.setlist.fm/setlist/grateful-dead/1985/carolina-coliseum-columbia-sc-53d607a1.html",1985-10-31,"Carolina Coliseum","Columbia","USA","SC","South",33.9936564,-81.0330795,18,0.00285970141449003,3.99360815817568e-42,0.00285970141449003,6.83209857805519,0.00662878787878788,5.17708529328128
"723","29","Oct","1985","Fox Theater, Atlanta, GA, USA","http://www.setlist.fm/setlist/grateful-dead/1985/fox-theater-atlanta-ga-4bd607a2.html",1985-10-29,"Fox Theater","Atlanta","USA","GA","South",33.7725845,-84.3856028,18,0.0285970141449003,3.69949763218873e-39,0.0285970141449003,4.88051822580487,0.00662878787878802,5.17708529328126
"724","28","Oct","1985","Fox Theater, Atlanta, GA, USA","http://www.setlist.fm/setlist/grateful-dead/1985/fox-theater-atlanta-ga-43d607a3.html",1985-10-28,"Fox Theater","Atlanta","USA","GA","South",33.7725845,-84.3856028,20,0.0284835339300395,7.16599869849495e-46,0.0284835339300395,4.88388825242362,0.00660248316498317,5.18127248376867
"725","26","Oct","1985","USF Sun Dome, Tampa, FL, USA","http://www.setlist.fm/setlist/grateful-dead/1985/usf-sun-dome-tampa-fl-5bd607ac.html",1985-10-26,"USF Sun Dome","Tampa","USA","FL","South",28.0590996,-82.4064729,22,0.00167950717993859,1.26420927477389e-51,0.00167950717993859,7.28318456832187,0.00389309764309764,5.73755058958675
"726","25","Oct","1985","Sportatorium, Hollywood, FL, USA","http://www.setlist.fm/setlist/grateful-dead/1985/sportatorium-hollywood-fl-53d607ad.html",1985-10-25,"Sportatorium","Hollywood","USA","FL","South",26.0091106,-80.3753632,17,0.00603714743059005,3.18863627787877e-37,0.00603714743059005,6.19878910777012,0.00349852693602929,5.8500857124598
"727","20","Oct","1985","Fox Theater, Atlanta, GA, USA","http://www.setlist.fm/setlist/grateful-dead/1985/fox-theater-atlanta-ga-1bc2216c.html",1985-10-20,"Fox Theater","Atlanta","USA","GA","South",33.7725845,-84.3856028,18,0.0285970141449003,3.69949763218873e-39,0.0285970141449003,4.88051822580487,0.00662878787878802,5.17708529328126
"728","15","Sep","1985","DeVore Stadium, Chula Vista, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1985/devore-stadium-chula-vista-ca-4bd607ae.html",1985-09-15,"DeVore Stadium","Chula Vista","USA","CA","West",32.6430186,-117.0000975,20,0.00284835339300395,9.14218551377003e-48,0.00284835339300395,6.83546860467394,0.00660248316498317,5.18127248376867
"729","12","Sep","1985","Henry J. Kaiser Convention Center, Oakland, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1985/henry-j-kaiser-convention-center-oakland-ca-43d607af.html",1985-09-12,"Henry J. Kaiser Convention Center","Oakland","USA","CA","West",37.7976288,-122.2615781,21,0.0864265316379208,1.99320099552389e-44,0.0864265316379208,3.94312267144628,0.00589225589225589,5.3011199014969
"730","11","Sep","1985","Henry J. Kaiser Convention Center, Oakland, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1985/henry-j-kaiser-convention-center-oakland-ca-5bd607a8.html",1985-09-11,"Henry J. Kaiser Convention Center","Oakland","USA","CA","West",37.7976288,-122.2615781,18,0.0972298480926609,3.88269679342507e-38,0.0972298480926609,3.84329441366992,0.00662878787878845,5.17708529328119
"731","10","Sep","1985","Henry J. Kaiser Convention Center, Oakland, CA, USA","http://www.setlist.fm/setlist/grateful-dead/1985/henry-j-kaiser-convention-center-oakland-ca-53d607a9.html",1985-09-10,"Henry J. Kaiser Convention Center","Oakland","USA","CA","West",37.7976288,-122.2615781,21,0.0864265316379208,1.63478463750759e-44,0.0864265316379208,3.94312267144628,0.00589225589225589,5.3011199014969
"732","7","Sep","1985","Red Rocks Amphitheatre, Morrison, CO, USA","http://www.setlist.fm/setlist/grateful-dead/1985/red-rocks-amphitheatre-morrison-co-4bd607aa.html",1985-09-07,"Red Rocks Amphitheatre","Morrison","USA","CO","West",39.6702344,-105.203902,21,0.0508391362576004,1.32416178900544e-47,0.0508391362576004,4.3928622586054,0.00589225589225589,5.3011199014969
"733","6","Sep","1985","Red Rocks Amphitheatre, Morrison, CO, USA","http://www.setlist.fm/setlist/grateful-dead/1985/red-rocks-amphitheatre-morrison-co-43d607ab.html",1985-09-06,"Red Rocks Amphitheatre","Morrison","USA","CO","West",39.6702344,-105.203902,17,0.0301857371529503,6.03818251849242e-37,0.0301857371529503,4.83469298049563,0.00349852693602786,5.85008571246023
"734","5","Sep","1985","Red Rocks Amphitheatre, Morrison, CO, USA","http://www.setlist.fm/setlist/grateful-dead/1985/red-rocks-amphitheatre-morrison-co-5bd607b4.html",1985-09-05,"Red Rocks Amphitheatre","Morrison","USA","CO","West",39.6702344,-105.203902,19,0.0651376433300506,1.18439277346881e-40,0.0651376433300506,4.18280609628379,0.00754945286195286,5.04012933252186
"735","3","Sep","1985","Starlight Theater, Kansas City, MO, USA","http://www.setlist.fm/setlist/grateful-dead/1985/starlight-theater-kansas-city-mo-53d607b5.html",1985-09-03,"Starlight Theater","Kansas City","USA","MO","Midwest",39.007004,-94.531645,20,0.00854506017901186,1.44370492366394e-47,0.00854506017901186,5.90432813832203,0.00660248316498317,5.18127248376867
