feature,outlier,Train_Score,Test_Score
35,65,0.810812788,0.81097935
35,70,0.80216779,0.806276835
35,75,0.786972552,0.800960949
35,80,0.758832565,0.798098548
35,85,0.728147003,0.793191576
35,90,0.71530978,0.771723574
35,95,0.718461538,0.714168882
40,5,0.855930148,0.830300552
40,10,0.854099107,0.830709466
40,15,0.848769615,0.829687181
40,20,0.848758321,0.82897158
40,25,0.846629118,0.826518094
40,30,0.842684711,0.825700266
40,35,0.84115168,0.826927009
40,40,0.838410992,0.82539358
40,45,0.828841409,0.824473523
40,50,0.82703533,0.810365978
40,55,0.81195949,0.813023921
40,60,0.805683564,0.81384175
40,65,0.794455417,0.815681865
40,70,0.79604028,0.802698835
40,75,0.773681516,0.801778777
40,80,0.753072197,0.795338377
40,85,0.767195767,0.799529749
40,90,0.720430108,0.781537518
40,95,0.685463011,0.736352484
45,5,0.855741504,0.827949295
45,10,0.854867156,0.82897158
45,15,0.850908105,0.829278266
45,20,0.846710189,0.827642609
45,25,0.846419062,0.823757923
45,30,0.838782825,0.826313637
45,35,0.847847493,0.825086894
45,40,0.842677931,0.823553466
45,45,0.834279862,0.813330607
45,50,0.831387609,0.817624208
45,55,0.821414348,0.815784093
45,60,0.810663765,0.815068493
45,65,0.807548826,0.81097935
45,70,0.793821471,0.806481292
45,75,0.782189392,0.804845635
45,80,0.772116246,0.791351462
45,85,0.753586066,0.796053977
45,90,0.710546574,0.777959517
45,95,0.680840164,0.747904314
50,5,0.853962864,0.829482723
50,10,0.850998464,0.82897158
50,15,0.850456312,0.828358209
50,20,0.849046339,0.827131466
50,25,0.842430449,0.829073809
50,30,0.8462073,0.826927009
50,35,0.838860879,0.826211409
50,40,0.840971155,0.820282151
50,45,0.833263511,0.820077694
50,50,0.847067862,0.81455735
50,55,0.832280822,0.819464322
50,60,0.826420891,0.815784093
50,65,0.815375613,0.810877121
50,70,0.792541389,0.813739522
50,75,0.774603175,0.805867921
50,80,0.765783071,0.797894091
50,85,0.754568745,0.798507463
